"","Range","Row","Plot","Moisture","Tstwght","Weight","Date.Time","SEQ."
"23",2,22,"138VR",11.18,60.3712011373649,11.553295293065,"25/06/2022:14:51:00",76
"24",2,23,"139VR",10.9,58.2904489828701,10.2643433293489,"25/06/2022:14:54:02",79
"25",2,24,"140VR",11.34,62.6857330183624,8.38626940041852,"25/06/2022:15:03:59",92
"26",2,25,"201IND",10.95,60.2037776088382,10.8987001715732,"25/06/2022:15:06:46",95
"27",2,26,"202IND",11.18,61.7735470108392,10.8252829136663,"25/06/2022:15:16:21",108
"28",2,27,"203IND",11.34,60.3018876251151,9.19277190177603,"25/06/2022:15:18:51",111
"29",3,14,"210VR",11.37,60.6322040909155,9.22382344504516,"25/06/2022:13:58:28",11
"30",3,15,"211VR",11.13,62.0393690235641,12.1903754956806,"25/06/2022:14:03:09",16
"31",3,16,"212VR",10.79,49.8513859181983,12.6809600861063,"25/06/2022:14:11:41",27
"32",3,17,"213VR",10.52,61.0713530463538,10.2288110933513,"25/06/2022:14:16:04",32
"33",3,18,"214VR",10.88,53.6110549668557,9.21547075943676,"25/06/2022:14:24:16",43
"34",3,19,"215VR",10.8,60.4526394354733,13.3047156863951,"25/06/2022:14:28:31",48
"35",3,20,"216VR",11.19,64.2590102586331,7.51260478245078,"25/06/2022:14:37:15",59
"36",3,21,"217VR",11.2,57.2067763563688,8.17614825844088,"25/06/2022:14:41:27",64
"37",3,22,"218VR",11.07,55.767342126963,11.7000869437879,"25/06/2022:14:50:10",75
"38",3,23,"219VR",10.94,58.6549260038417,8.1493740098015,"25/06/2022:14:54:48",80
"39",3,24,"220VR",11.1,65.3416970900834,11.7871624288824,"25/06/2022:15:03:14",91
"40",3,25,"301IND",11.14,59.4042297927467,8.11798052437626,"25/06/2022:15:07:30",96
"41",3,26,"302IND",11.34,59.5950488466119,11.0779041882031,"25/06/2022:15:15:32",107
"42",3,27,"303IND",11.47,56.8142613274238,9.63605120378933,"25/06/2022:15:19:37",112
"43",4,13,"229VR",10.64,56.8892976509435,11.7835351899302,"25/06/2022:13:49:07",1
"44",4,14,"230VR",10.76,58.4405137620318,12.6584164104698,"25/06/2022:13:57:38",10
"45",4,15,"231VR",10.52,52.6423543422006,9.79306774958705,"25/06/2022:14:03:59",17
"46",4,16,"232VR",10.88,63.9364166627507,11.2301292214446,"25/06/2022:14:10:57",26
"47",4,17,"233VR",10.95,57.6581806066716,6.4004552093276,"25/06/2022:14:16:48",33
"48",4,18,"234VR",11.16,50.9959899727605,9.47458971671398,"25/06/2022:14:23:30",42
"49",4,19,"235VR",10.68,58.9301663890465,7.57971624624316,"25/06/2022:14:29:19",49
"50",4,20,"236VR",10.42,58.0361324166255,10.4089545051017,"25/06/2022:14:36:15",58
"51",4,21,"237VR",10.82,51.8320424043099,9.97201179097618,"25/06/2022:14:42:17",65
"52",4,22,"238VR",10.93,67.198766044908,9.52959832036223,"25/06/2022:14:49:25",74
"53",4,23,"239VR",11.14,54.5311295539565,9.62336269152409,"25/06/2022:14:55:37",81
"54",4,24,"240VR",11.44,53.5858018207294,11.902566137681,"25/06/2022:15:02:31",90
"55",4,25,"401IND",11.14,60.8052092441237,9.69197042805301,"25/06/2022:15:08:19",97
"56",4,26,"402IND",11.1,63.132909699402,13.7084890095037,"25/06/2022:15:14:50",106
"57",4,27,"403IND",11.27,58.2164572195444,6.19166529122102,"25/06/2022:15:20:30",113
"58",5,13,"309VR",11.08,59.909241547123,10.7185994038009,"25/06/2022:13:51:17",2
"59",5,14,"310VR",10.75,54.59120100005,14.2290698924194,"25/06/2022:13:56:50",9
"60",5,15,"311VR",10.81,62.8211094741654,7.72850202631367,"25/06/2022:14:04:44",18
"61",5,16,"312VR",10.59,60.25132178365,8.40748802843132,"25/06/2022:14:10:12",25
"62",5,17,"313VR",10.45,59.4040228527965,9.2048610996985,"25/06/2022:14:17:33",34
"63",5,18,"314VR",11.01,61.992461657161,10.1834480830912,"25/06/2022:14:22:40",41
"64",5,19,"315VR",10.75,62.9958435791744,9.52261185172945,"25/06/2022:14:30:06",50
"65",5,20,"316VR",10.53,56.0699387639474,9.07607527260123,"25/06/2022:14:35:26",57
"66",5,21,"317VR",10.51,60.9235809604431,13.8526812146992,"25/06/2022:14:43:01",66
"67",5,22,"318VR",10.68,55.0421987669706,10.2441096296453,"25/06/2022:14:48:39",73
"68",5,23,"319VR",10.86,67.918236193383,12.1841011530126,"25/06/2022:14:56:20",82
"69",5,24,"320VR",10.86,60.8269463983555,4.05548504910517,"25/06/2022:15:01:35",89
"70",5,25,"501IND",11.19,58.8567382256614,12.2569781019306,"25/06/2022:15:09:02",98
"71",5,26,"502IND",11.32,57.038229174321,12.6240002580273,"25/06/2022:15:14:00",105
"72",5,27,"503IND",11.36,58.1177335552767,9.03478405386992,"25/06/2022:15:21:14",114
"73",6,13,"329VR",10.69,54.59516255686,9.55028200669236,"25/06/2022:13:52:23",3
"74",6,14,"330VR",10.43,59.2538818854282,13.3355306217587,"25/06/2022:13:56:04",8
"75",6,15,"331VR",10.46,61.3341037323486,10.0824370646332,"25/06/2022:14:05:30",19
"76",6,16,"332VR",10.75,56.946564615221,12.0763496911028,"25/06/2022:14:09:25",24
"77",6,17,"333VR",10.72,55.7497915122897,11.1752858666845,"25/06/2022:14:18:17",35
"78",6,18,"334VR",10.68,52.4827203779417,9.68340084570873,"25/06/2022:14:21:52",40
"79",6,19,"335VR",10.82,61.2756228260471,9.41582917021684,"25/06/2022:14:30:50",51
"80",6,20,"336VR",10.8,60.3351332268198,7.16020207332157,"25/06/2022:14:34:37",56
"81",6,21,"337VR",10.97,58.1547097625242,5.72336394958305,"25/06/2022:14:43:52",67
"82",6,22,"338VR",10.79,56.795608278403,9.9549997901948,"25/06/2022:14:47:49",72
"83",6,23,"339VR",11.03,60.0334445157645,10.5395419072499,"25/06/2022:14:57:06",83
"84",6,24,"340VR",10.96,53.499158214356,8.99406120193792,"25/06/2022:15:00:53",88
"85",6,25,"601IND",11.03,53.1089834035892,11.2616147807354,"25/06/2022:15:09:48",99
"86",6,26,"602IND",11.13,53.2191613086165,10.9491304168331,"25/06/2022:15:13:18",104
"87",6,27,"603IND",11.22,57.5548463015153,9.31868187684713,"25/06/2022:15:22:01",115
"88",7,13,"409VR",10.75,62.1628398589225,10.0992031190443,"25/06/2022:13:53:09",4
"89",7,14,"410VR",10.74,61.858631385296,12.5905263817202,"25/06/2022:13:55:14",7
"90",7,15,"411VR",10.55,56.7393859308079,10.6292484099166,"25/06/2022:14:06:20",20
"91",7,16,"412VR",10.73,64.6720572137165,11.6031450074047,"25/06/2022:14:08:30",23
"92",7,17,"413VR",10.77,54.41697287604,10.9721177924649,"25/06/2022:14:19:01",36
"93",7,18,"414VR",10.75,57.0287287081905,13.4511221133017,"25/06/2022:14:21:04",39
"94",7,19,"415VR",10.83,56.067790905376,10.2048657215016,"25/06/2022:14:31:39",52
"95",7,20,"416VR",10.81,59.6369283214181,8.02032585012133,"25/06/2022:14:33:52",55
"96",7,21,"417VR",10.86,51.9952281631221,9.07911758200223,"25/06/2022:14:44:44",68
"97",7,22,"418VR",10.77,63.7393234682098,10.4753229839432,"25/06/2022:14:47:04",71
"98",7,23,"419VR",11.37,63.8281264040831,9.46120547165819,"25/06/2022:14:57:52",84
"99",7,24,"420VR",10.91,62.910597306122,9.66089186068672,"25/06/2022:15:00:11",87
"100",7,25,"701IND",10.99,58.6720330238272,11.3297379465332,"25/06/2022:15:10:33",100
"101",7,26,"702IND",11.1,63.6250536903916,8.44889816958931,"25/06/2022:15:12:31",103
"102",7,27,"703IND",11.3,60.94718534701,6.16147773794151,"25/06/2022:15:22:46",116
"103",8,13,"429VR",10.62,62.8353946511802,14.0386650792668,"25/06/2022:13:53:50",5
"104",8,14,"430VR",10.55,59.7111694847551,10.870421029738,"25/06/2022:13:54:31",6
"105",8,15,"431VR",10.65,60.1690035241362,12.1003376643097,"25/06/2022:14:07:02",21
"106",8,16,"432VR",10.56,50.5466372613865,9.3757703186992,"25/06/2022:14:07:41",22
"107",8,17,"433VR",11.05,56.8478083567156,10.1872352346091,"25/06/2022:14:19:42",37
"108",8,18,"434VR",10.65,63.0561023390127,5.69362449882686,"25/06/2022:14:20:18",38
"109",8,19,"435VR",10.8,59.4050785658954,10.715986142053,"25/06/2022:14:32:24",53
"110",8,20,"436VR",11.04,54.1251705138077,10.935729622659,"25/06/2022:14:33:04",54
"111",8,21,"437VR",10.81,55.1664928288354,8.18662233024732,"25/06/2022:14:45:29",69
"112",8,22,"438VR",10.66,56.7768100615761,8.9413001689465,"25/06/2022:14:46:24",70
"113",8,23,"439VR",10.68,67.4875036465731,12.6871534337103,"25/06/2022:14:58:37",85
"114",8,24,"440VR",11.42,58.2816400497562,10.938868113247,"25/06/2022:14:59:22",86
"115",8,25,"801IND",11.15,56.421058367029,9.49378982449915,"25/06/2022:15:11:10",101
"116",8,26,"802IND",11.01,50.6296649129738,10.7382074306569,"25/06/2022:15:11:46",102
"117",8,27,"803IND",11.13,51.3925166492046,7.30658561909845,"25/06/2022:15:23:32",117
